SN,title,views,date
1,Pistol - Cigarettes After Sex,2.3M views,3 months ago
2,Silent Dream - Daniele Luppi & Greg Gonzalez,195K views,5 months ago
3,Another Life - Daniele Luppi & Greg Gonzalez,53K views,5 months ago
4,Last Drink - Daniele Luppi & Greg Gonzalez,58K views,5 months ago
5,The Rose You Kept - Daniele Luppi & Greg Gonzalez,108K views,6 months ago
6,You Never Loved - Daniele Luppi & Greg Gonzalez,168K views,6 months ago
7,Down Parasite - The Furniture,66K views,7 months ago
8,Gumdrop - The Furniture,26K views,7 months ago
9,Kontrail - The Furniture,17K views,7 months ago
10,Set To Quiver - The Furniture,13K views,7 months ago
11,Strom - The Furniture,13K views,7 months ago
12,Lustre - The Furniture,13K views,7 months ago
13,The Sloth - The Furniture,24K views,7 months ago
14,Thrum - The Furniture,17K views,7 months ago
15,The Furniture (Full Album) - The Furniture,28K views,7 months ago
16,I. (Full Album) - Cigarettes After Sex,207K views,7 months ago
17,Cigarettes After Sex (Full Album) - Cigarettes After Sex,6.4M views,7 months ago
18,Cry (Full Album) - Cigarettes After Sex,1.8M views,7 months ago
19,Cigarettes After Sex: Live From L.A. - global livestream on sale now...,118K views,9 months ago
20,You're All I Want - Cigarettes After Sex,6.2M views,2 years ago
21,Pure - Cigarettes After Sex,2.5M views,3 years ago
22,Hentai - Cigarettes After Sex,3.3M views,3 years ago
23,Touch - Cigarettes After Sex,6.1M views,3 years ago
24,Don't Let Me Go - Cigarettes After Sex,6M views,3 years ago
25,You're The Only Good Thing In My Life - Cigarettes After Sex,2.7M views,3 years ago
26,Kiss It Off Me - Cigarettes After Sex,4M views,3 years ago
27,Cry - Cigarettes After Sex,23M views,3 years ago
28,Falling In Love - Cigarettes After Sex,9.1M views,3 years ago
29,Heavenly - Cigarettes After Sex,18M views,3 years ago
30,Neon Moon - Cigarettes After Sex,4.2M views,4 years ago
31,Sesame Syrup - Cigarettes After Sex,6.2M views,4 years ago
32,Crush - Cigarettes After Sex,10M views,4 years ago
33,Flash - Cigarettes After Sex,6.4M views,5 years ago
34,Sunsetz - Cigarettes After Sex,23M views,5 years ago
35,Opera House - Cigarettes After Sex,11M views,5 years ago
36,Truly - Cigarettes After Sex,3.2M views,5 years ago
37,John Wayne - Cigarettes After Sex,7.4M views,5 years ago
38,Young & Dumb - Cigarettes After Sex,4.4M views,5 years ago
39,Sweet - Cigarettes After Sex,30M views,5 years ago
40,Each Time You Fall In Love - Cigarettes After Sex,9.6M views,5 years ago
41,Apocalypse - Cigarettes After Sex,139M views,5 years ago
42,K. - Cigarettes After Sex,53M views,6 years ago
43,Keep On Loving You - Cigarettes After Sex,39M views,7 years ago
44,Affection - Cigarettes After Sex,82M views,7 years ago
45,Nothing's Gonna Hurt You Baby - Cigarettes After Sex,28M views,7 years ago
46,I'm a Firefighter - Cigarettes After Sex,2.6M views,7 years ago
47,Dreaming Of You - Cigarettes After Sex,24M views,7 years ago
48,Starry Eyes - Cigarettes After Sex,2M views,7 years ago
